Date,Spot
"mar 06, 1998",13.13
"mar 13, 1998",12.31
"mar 20, 1998",11.95
"mar 27, 1998",14.61
"abr 03, 1998",13.79
"abr 10, 1998",12.99
"abr 17, 1998",13.55
"abr 24, 1998",13.64
"may 01, 1998",14
"may 08, 1998",13.95
"may 15, 1998",14.39
"may 22, 1998",14.56
"may 29, 1998",14.45
"jun 05, 1998",13.63
"jun 12, 1998",12.46
"jun 19, 1998",10.92
"jun 26, 1998",11.96
"jul 03, 1998",11.87
"jul 10, 1998",11.66
"jul 17, 1998",12.04
"jul 24, 1998",12.12
"jul 31, 1998",12.61
"ago 07, 1998",12.1
"ago 14, 1998",11.39
"ago 21, 1998",12
"ago 28, 1998",12.16
"sep 04, 1998",12.42
"sep 11, 1998",12.61
"sep 18, 1998",12.92
"sep 25, 1998",14.55
"oct 02, 1998",14.43
"oct 09, 1998",13.61
"oct 16, 1998",12.45
"oct 23, 1998",11.74
"oct 30, 1998",12.35
"nov 06, 1998",11.9
"nov 13, 1998",11.36
"nov 20, 1998",10.56
"nov 27, 1998",10.56
"dic 04, 1998",9.85
"dic 11, 1998",9.44
"dic 18, 1998",9.89
"dic 25, 1998",9.78
"ene 01, 1999",10.41
"ene 08, 1999",10.94
"ene 15, 1999",11.36
"ene 22, 1999",11.04
"ene 29, 1999",11.11
"feb 05, 1999",10.52
"feb 12, 1999",9.88
"feb 19, 1999",10.07
"feb 26, 1999",10.58
"mar 05, 1999",10.79
"mar 12, 1999",11.67
"mar 19, 1999",12.75
"mar 26, 1999",13.57
"abr 02, 1999",14.62
"abr 09, 1999",14.13
"abr 16, 1999",14.7
"abr 23, 1999",16.07
"abr 30, 1999",16.18
"may 07, 1999",16.48
"may 14, 1999",15.22
"may 21, 1999",14.55
"may 28, 1999",14.9
"jun 04, 1999",14.49
"jun 11, 1999",16.13
"jun 18, 1999",16.12
"jun 25, 1999",16.03
"jul 02, 1999",16.88
"jul 09, 1999",18.62
"jul 16, 1999",19.25
"jul 23, 1999",19.28
"jul 30, 1999",19.76
"ago 06, 1999",19.44
"ago 13, 1999",20.21
"ago 20, 1999",20.8
"ago 27, 1999",20.25
"sep 03, 1999",20.9
"sep 10, 1999",21.94
"sep 17, 1999",23.08
"sep 24, 1999",23.02
"oct 01, 1999",23.25
"oct 08, 1999",22.42
"oct 15, 1999",21.78
"oct 22, 1999",21.79
"oct 29, 1999",21.82
"nov 05, 1999",22.22
"nov 12, 1999",24.77
"nov 19, 1999",25.19
"nov 26, 1999",25.82
"dic 03, 1999",25.35
"dic 10, 1999",25.74
"dic 17, 1999",25.44
"dic 24, 1999",25.41
"dic 31, 1999",25.28
"ene 07, 2000",23.64
"ene 14, 2000",24.34
"ene 21, 2000",26.38
"ene 28, 2000",26.99
"feb 04, 2000",27.33
"feb 11, 2000",27.63
"feb 18, 2000",27.81
"feb 25, 2000",27.76
"mar 03, 2000",29.49
"mar 10, 2000",30.3
"mar 17, 2000",28.39
"mar 24, 2000",25.47
"mar 31, 2000",24.33
"abr 07, 2000",23.28
"abr 14, 2000",21.66
