,Open,High,Low,Close,Volume
1794,15168.09961,15168.62988,14945.57031,14960.58984,141400000
1795,14955.4502,15040.62012,14844.21973,15040.62012,140410000
1796,15044.45996,15255.58008,15044.45996,15248.12012,137380000
1797,15247.80957,15300.63965,15211.25,15238.58984,94250000
1798,15231.37988,15251.07031,15086.08984,15122.01953,101610000
1799,15130.38965,15241.28027,14981.20996,14995.23047,105770000
1800,14992.54004,15202.26953,14953.4502,15176.08008,104490000
1801,15178.08008,15205.91992,15044.79981,15070.17969,107430000
1802,15078.70996,15261.70996,15078.70996,15179.84961,139250000
1803,15186.29981,15340.08984,15186.29981,15318.23047,99210000
1804,15315.46973,15322.07031,15112.11035,15112.19043,111380000
1805,15105.50977,15105.50977,14732.03027,14758.32031,172630000
1806,14760.62012,14858.55957,14688.42969,14799.40039,420080000
1807,14795.79004,14795.79004,14551.26953,14659.55957,158670000
1808,14669.69043,14812.03027,14669.69043,14760.30957,135940000
1809,14769.99023,14938.98047,14769.67969,14910.13965,133230000
1810,14921.28027,15075.00977,14921.28027,15024.49023,113650000
1811,15016.58008,15034.62988,14884.79981,14909.59961,2.30E+08
1812,14911.59961,15083.28027,14911.59961,14974.95996,120570000
1813,14974.95996,15049.21973,14870.50977,14932.41016,116610000
1814,14923.73047,15025.90039,14858.92969,14988.37012,6.10E+07
1815,14995.45996,15137.50977,14971.2002,15135.83984,94560000
1816,15137.21973,15262.71973,15137.21973,15224.69043,136820000
1817,15228.45996,15320.41992,15228.45996,15300.33984,109270000
1818,15298.03027,15348.9502,15258.88965,15291.66016,105050000
1819,15298,15483.54981,15298,15460.91992,124950000
1820,15460.69043,15498.38965,15410.26953,15464.29981,130140000
1821,15459.69043,15509.48047,15455.76953,15484.25977,99430000
1822,15485.03027,15498.16016,15415.70996,15451.84961,105970000
1823,15456.91992,15502,15438.12012,15470.51953,126240000
1824,15465.91016,15589.40039,15465.91016,15548.54004,136270000
1825,15524.26953,15544.54981,15491.95996,15543.74023,229260000
1826,15543.96973,15576.20996,15516.2002,15545.54981,180920000
1827,15547,15604.21973,15544.05957,15567.74023,98700000
1828,15576.69043,15602.59961,15496.83984,15542.24023,99320000
1829,15539.16992,15560.33008,15455.58984,15555.61035,103260000
1830,15547.84961,15560.96973,15405.16016,15558.83008,94880000
1831,15557.13965,15557.13965,15482.26953,15521.96973,87240000
1832,15534.49023,15593.91016,15479.12988,15520.58984,117550000
1833,15528.57031,15634.32031,15492.95996,15499.54004,145120000
1834,15503.84961,15650.69043,15503.84961,15628.01953,111040000
1835,15627.55957,15658.42969,15558.67969,15658.36035,104840000
1836,15651.98047,15655.20996,15584.83008,15612.12988,76850000
1837,15608.44043,15608.44043,15473.40039,15518.74023,87730000
1838,15516.20996,15516.20996,15421.75,15470.66992,88430000
1839,15477.26953,15557.12012,15418.59961,15498.32031,90990000
1840,15496.62988,15507.75977,15346.65039,15425.50977,81180000
1841,15415.21973,15441.75,15359.92969,15419.67969,78060000
1842,15420.67969,15504.13965,15342.33984,15451.00977,84790000
1843,15447.70996,15453.08008,15316.62012,15337.66016,91030000
1844,15332.70996,15332.70996,15094.03027,15112.19043,128340000
1845,15112.57031,15139.76953,15054.37988,15081.46973,151620000
1846,15076.79004,15106.38965,15005.41992,15010.74023,111660000
1847,15011.82031,15074.91992,14992.16016,15002.99023,102340000
1848,14993.80957,15019.7002,14880.83984,14897.54981,98340000
1849,14908.59961,14989.12012,14899,14963.74023,153490000
1850,14988.78027,15025.55957,14931.24023,15010.50977,131860000
1851,15014.58008,15049.98047,14945.24023,14946.45996,102820000
1852,14939.25,14939.25,14765.41992,14776.12988,118610000
1853,14770.99023,14867.40039,14760.41016,14824.50977,104620000
1854,14817.91016,14916.00977,14792.11035,14840.9502,93170000
1855,14844.09961,14848.24023,14762.34961,14810.30957,135850000
1856,14801.54981,14933.34961,14777.48047,14833.95996,142530000
